contrato,produto
1.320842814,CONTROLE
1.336505514,CONTROLE
1.331055375,CONTROLE
1.323338198,POS
1.335422876,CONTROLE
1.333989420,CONTROLE
1.331998895,CONTROLE
1.330227728,POS
1.294133918,CONTROLE
1.316742009,POS
1.337468095,POS
1.279780850,CONTROLE
1.330270079,CONTROLE
1.261436108,CONTROLE
1.327522156,CONTROLE
1.261529964,CONTROLE
1.293343690,CONTROLE
1.330232124,CONTROLE
1.319989665,POS
1.331332247,LIVE
1.330280234,CONTROLE
1.337599471,CONTROLE
1.292611340,CONTROLE
1.318471519,CONTROLE
1.330176212,CONTROLE
1.316180527,CONTROLE
1.330038087,POS
1.336687100,CONTROLE
1.335924266,CONTROLE
1.329158603,CONTROLE
1.333840205,CONTROLE
1.334432685,LIVE
1.337749040,CONTROLE
1.333507508,LIVE
1.331174386,LIVE
1.333084199,POS
1.334372394,CONTROLE
1.335845815,CONTROLE
1.334168638,CONTROLE
1.335362509,CONTROLE
1.327277804,CONTROLE
1.326616330,CONTROLE
1.339180332,CONTROLE
1.339039116,CONTROLE
1.84675265,CONTROLE
1.335350773,CONTROLE
1.337587822,CONTROLE
7.2001079,CORPORATE
1.81882626,POS
1.339031509,CONTROLE
1.332099320,CONTROLE
1.329206798,CONTROLE
1.324692217,LIVE
1.327968700,CONTROLE
1.331357112,POS
1.80720830,CONTROLE
1.332957461,POS
1.88595366,CONTROLE
1.339065522,CONTROLE
1.326996381,CONTROLE
1.335575288,POS
1.340207225,CONTROLE
1.338577576,POS
1.79374680,CONTROLE
1.322609560,CONTROLE
1.334730653,POS
1.324206114,CONTROLE
1.335585822,CONTROLE
1.332319974,CONTROLE
1.334812533,CONTROLE
1.328930585,CONTROLE
1.78220699,CONTROLE
1.77667443,CONTROLE
1.327644839,LIVE
1.338141368,CONTROLE
1.315057671,CONTROLE
1.329685987,CONTROLE
1.338875942,CONTROLE
1.315261007,CONTROLE
1.334970078,CONTROLE
1.333500496,CONTROLE
1.339446567,CONTROLE
1.339254008,CONTROLE
1.63054338,CONTROLE
1.63104148,CONTROLE
1.329321600,POS
1.294373187,CONTROLE
1.332306710,CONTROLE
1.326661815,CONTROLE
1.315879757,CONTROLE
1.301578400,CONTROLE
1.337084939,CONTROLE
1.331855092,CONTROLE
1.335636741,CONTROLE
1.328058458,CONTROLE
1.331138287,CONTROLE
1.338846656,CONTROLE
1.336991078,CONTROLE
1.338582708,CONTROLE
1.332474476,CONTROLE
1.329233695,POS
1.333926126,CONTROLE
1.331445045,CONTROLE
1.325946782,CONTROLE
1.264302872,CONTROLE
1.331639867,POS
1.30707507,POS
1.333665094,CONTROLE
1.337622670,CONTROLE
7.162007110,CORPORATE
1.337556695,CONTROLE
1.335278647,CONTROLE
1.339329841,CONTROLE
1.330966705,CONTROLE
1.335264928,CONTROLE
1.86883049,CONTROLE
1.337079381,CONTROLE
1.337861598,CONTROLE
1.264343215,CONTROLE
1.314454779,POS
1.64894174,CONTROLE
1.332752710,CONTROLE
1.330806610,CONTROLE
1.336878396,POS
1.320504975,POS
1.334652378,CONTROLE
1.278799164,CONTROLE
1.291134288,CONTROLE
1.334427724,POS
1.331188461,CONTROLE
1.335628567,CONTROLE
7.2061056,CORPORATE
1.333995819,CONTROLE
1.318471629,POS
1.331775568,CONTROLE
1.339150722,CONTROLE
1.335730426,CONTROLE
1.331643641,POS
1.319957714,LIVE
1.331212227,CONTROLE
1.332103705,CONTROLE
1.338454819,CONTROLE
1.39941728,CONTROLE
1.339932617,CONTROLE
1.330619211,POS
1.313908280,CONTROLE
1.326536368,LIVE
1.300232586,CONTROLE
1.317150787,LIVE
1.332442222,POS
1.334874734,CONTROLE
1.330444851,CONTROLE
1.338227472,CONTROLE
1.327478002,CONTROLE
1.322162928,CONTROLE
1.332981687,CONTROLE
1.340822780,CONTROLE
1.332422303,CONTROLE
1.330504928,CONTROLE
7.2027083,CORPORATE
1.331623323,POS
1.320876443,POS
1.324729723,CONTROLE
1.334234379,CONTROLE
1.334054051,CONTROLE
1.319386153,CONTROLE
1.331375501,CONTROLE
1.336990785,CONTROLE
1.87269680,CONTROLE
1.329731184,CONTROLE
1.330749255,CONTROLE
1.330111921,CONTROLE
1.338791910,POS
1.72083209,CONTROLE
1.72083228,CONTROLE
1.321654928,POS
1.78626100,CONTROLE
1.306704399,CONTROLE
1.330028618,POS
1.330028577,POS
1.337344696,CONTROLE
1.334206426,CONTROLE
1.332050286,POS
1.340638829,CONTROLE
1.332570126,POS
1.336766032,CONTROLE
1.336868168,CONTROLE
1.338580577,CONTROLE
1.327552818,POS
1.325088561,CONTROLE
1.60470511,CONTROLE
1.335630316,CONTROLE
1.335933695,CONTROLE
1.331181387,POS
1.333868739,CONTROLE
1.335686924,POS
1.315545129,CONTROLE
1.337278962,CONTROLE
1.263853844,LIVE
1.263466107,CONTROLE
1.330238084,CONTROLE
1.315288448,CONTROLE
1.330510304,CONTROLE
1.336124445,CONTROLE
1.330476441,CONTROLE
1.335727813,CONTROLE
1.299217371,CONTROLE
1.335207996,LIVE
1.332753374,POS
1.322771083,CONTROLE
1.332073157,POS
1.329959951,CONTROLE
1.329467927,CONTROLE
1.321291347,CONTROLE
1.320682897,CONTROLE
1.337868497,CONTROLE
1.340440372,CONTROLE
1.339102684,CONTROLE
1.334024575,CONTROLE
1.332929589,CONTROLE
1.302031917,LIVE
1.79344413,FIXO
1.331828086,POS
1.82641957,CONTROLE
1.265122922,CONTROLE
1.322596205,OI
1.336327373,CONTROLE
1.335230314,CONTROLE
1.333923752,CONTROLE
1.61838476,CONTROLE
1.331112037,CONTROLE
1.327813396,POS
1.339277729,POS
1.334773398,CONTROLE
1.315662985,CONTROLE
1.263403857,CONTROLE
1.331721817,POS
1.329415884,CONTROLE
1.331841083,CONTROLE
1.273613106,CONTROLE
7.1866278.10,CORPORATE
1.335430451,CONTROLE
1.320884145,CONTROLE
1.331523574,CONTROLE
